Raid,Drops from,Item,URL,Warrior - Tank,Warrior - DPS,Druid - Feral,Druid - Balance,Druid - Resto,Hunter,Mage - Frost,Mage - Fire,Mage - Arcane,Warlock,Shaman - Enh,Shaman - Resto,Shaman - Ele,Paladin - Tank,Paladin - Holy,Paladin - Ret,Rogue,Priest - Holy,Priest - Shadow,Comment
Tempest Keep,Trash,Bands of the Celestial Archer,https://tbc.wowhead.com/item=30026,,,,,,2,,,,,2,,,,,3,,,,
Tempest Keep,Trash,Bark-Gloves of Ancient Wisdom,https://tbc.wowhead.com/item=30029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Fire-Cord of the Magus,https://tbc.wowhead.com/item=30020,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Girdle of Fallen Stars,https://tbc.wowhead.com/item=30030,,,,,,,,,,,,1,,,2,,,,,
Tempest Keep,Trash,Mantle of the Elven Kings,https://tbc.wowhead.com/item=30024,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Nether Vortex,https://tbc.wowhead.com/item=30183,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Trash,Seventh Ring of the Tirisfalen,https://tbc.wowhead.com/item=30028,,,,,,,,,,,,,,1,,,,,,
Tempest Keep,Al'ar,Arcanite Steam-Pistol,https://tbc.wowhead.com/item=29949,,,,,,1,,,,,,,,,,,2,,,
Tempest Keep,Al'ar,Band of Al'ar,https://tbc.wowhead.com/item=29922,,,,,,,,,,,,,,1,,,,,1,
Tempest Keep,Al'ar,Claw of the Phoenix,https://tbc.wowhead.com/item=29948,,,,,,1,,,,,,,,,,,,,,
Tempest Keep,Al'ar,Fire Crest Breastplate,https://tbc.wowhead.com/item=29921,,,,,,,,,,,,1,,,2,,,,,
Tempest Keep,Al'ar,Gloves of the Searing Grip,https://tbc.wowhead.com/item=29947,1,2,1,,,,,,,,,,,,,1,,,,
Tempest Keep,Al'ar,Mindstorm Wristbands,https://tbc.wowhead.com/item=29918,,,,1,,,1,1,1,1,,,1,,,,,,2,
Tempest Keep,Al'ar,Netherbane,https://tbc.wowhead.com/item=29924,,1,,,,2,,,,,1,,,,,,,,,
Tempest Keep,Al'ar,Phoenix-Ring of Rebirth,https://tbc.wowhead.com/item=29920,,,,,,,,,,,,1,,,1,,,,,
Tempest Keep,Al'ar,Phoenix-Wing Cloak,https://tbc.wowhead.com/item=29925,1,,1,,,,,,,,,,,1,,,,,,
Tempest Keep,Al'ar,Talisman of the Sun King,https://tbc.wowhead.com/item=29923,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No priority
Tempest Keep,Al'ar,Talon of Al'ar,https://tbc.wowhead.com/item=30448,,,,,,1,,,,,,,,,,,,,,
Tempest Keep,Al'ar,Talon of the Phoenix,https://tbc.wowhead.com/item=32944,,,,,,1,,,,,1,,,,,,,,,
